Customer_ID,Age,Gender,Item_Purchased,Category,Size,Color,Review_Rating,Subscription_Status,Shipping_Type,Promo_Code_Used,Previous_Purchases
1,55,Male,Blouse,Clothing,L,Gray,3.1,Yes,Express,Yes,14
2,19,Male,Sweater,Clothing,L,Maroon,3.1,Yes,Express,Yes,2
3,50,Male,Jeans,Clothing,S,Maroon,3.1,Yes,Free Shipping,Yes,23
4,21,Male,Sandals,Footwear,M,Maroon,3.5,Yes,Next Day Air,Yes,49
5,45,Male,Blouse,Clothing,M,Turquoise,2.7,Yes,Free Shipping,Yes,31
6,46,Male,Sneakers,Footwear,M,White,2.9,Yes,Standard,Yes,14
7,63,Male,Shirt,Clothing,M,Gray,3.2,Yes,Free Shipping,Yes,49
8,27,Male,Shorts,Clothing,L,Charcoal,3.2,Yes,Free Shipping,Yes,19
9,26,Male,Coat,Outerwear,L,Silver,2.6,Yes,Express,Yes,8
10,57,Male,Handbag,Accessories,M,Pink,4.8,Yes,2-Day Shipping,Yes,4
11,53,Male,Shoes,Footwear,L,Purple,4.1,Yes,Store Pickup,Yes,26
12,30,Male,Shorts,Clothing,S,Olive,4.9,Yes,Store Pickup,Yes,10
13,61,Male,Coat,Outerwear,M,Gold,4.5,Yes,Express,Yes,37
14,65,Male,Dress,Clothing,M,Violet,4.7,Yes,Express,Yes,31
15,64,Male,Coat,Outerwear,L,Teal,4.7,Yes,Free Shipping,Yes,34
16,64,Male,Skirt,Clothing,M,Teal,2.8,Yes,Store Pickup,Yes,8
17,25,Male,Sunglasses,Accessories,S,Gray,4.1,Yes,Next Day Air,Yes,44
18,53,Male,Dress,Clothing,XL,Lavender,4.7,Yes,2-Day Shipping,Yes,36
19,52,Male,Sweater,Clothing,S,Black,4.6,Yes,Free Shipping,Yes,17
20,66,Male,Pants,Clothing,M,Green,3.3,Yes,Standard,Yes,46
21,21,Male,Pants,Clothing,M,Black,2.8,Yes,Express,Yes,50
22,31,Male,Pants,Clothing,M,Charcoal,4.1,Yes,Store Pickup,Yes,22
23,56,Male,Pants,Clothing,M,Peach,3.2,Yes,Store Pickup,Yes,32
24,31,Male,Pants,Clothing,XL,White,4.4,Yes,Express,Yes,40
25,18,Male,Jacket,Outerwear,M,Green,2.9,Yes,Store Pickup,Yes,16
26,18,Male,Hoodie,Clothing,M,Silver,3.6,Yes,Express,Yes,14
27,38,Male,Jewelry,Accessories,M,Red,3.6,Yes,Next Day Air,Yes,13
28,56,Male,Shorts,Clothing,L,Cyan,5.0,Yes,Next Day Air,Yes,7
29,54,Male,Handbag,Accessories,M,Gray,4.4,Yes,Free Shipping,Yes,41
30,31,Male,Dress,Clothing,S,Black,4.1,Yes,Store Pickup,Yes,14
31,57,Male,Jewelry,Accessories,L,Black,4.7,Yes,Standard,Yes,16
32,33,Male,Dress,Clothing,L,Brown,4.7,Yes,Store Pickup,Yes,45
33,36,Male,Jacket,Outerwear,M,Silver,4.9,Yes,Free Shipping,Yes,37
